source_ENSEMBL target_ENSEMBL interaction
ENSG00000135744 ENSG00000130368 1
ENSG00000144891 ENSG00000120063 1
ENSG00000144891 ENSG00000172380 1
ENSG00000144891 ENSG00000156052 1
ENSG00000144891 ENSG00000127955 1
ENSG00000144891 ENSG00000060558 1
ENSG00000144891 ENSG00000156049 1
ENSG00000144891 ENSG00000065135 1
ENSG00000144891 ENSG00000124181 1
ENSG00000180772 ENSG00000156052 1
ENSG00000168710 ENSG00000080493 1
ENSG00000124942 ENSG00000152422 1
ENSG00000106546 ENSG00000169083 1
ENSG00000106546 ENSG00000091831 1
ENSG00000100591 ENSG00000080824 1
ENSG00000100591 ENSG00000131979 1
ENSG00000100591 ENSG00000096384 1
ENSG00000169877 ENSG00000188536 1
AIM2_CASP1_PYCARD ENSG00000137752 1
ENSG00000164022 ENSG00000108854 1
ENSG00000110711 ENSG00000080824 1
ENSG00000110711 ENSG00000106546 1
ENSG00000170776 ENSG00000067560 1
ENSG00000179841 ENSG00000120910 1
ENSG00000179841 ENSG00000288516 1
ENSG00000179841 ENSG00000072062 1
ENSG00000105127 ENSG00000171720 1
ENSG00000105127 ENSG00000072062 1
ENSG00000105127 ENSG00000288516 1
ENSG00000011243 ENSG00000135829 1
ENSG00000127914 ENSG00000125733 1
ENSG00000142208 ENSG00000284792 -1
ENSG00000142208 ENSG00000152270 1
ENSG00000142208 ENSG00000130816 1
ENSG00000142208 ENSG00000173531 1
ENSG00000142208 ENSG00000125798 1
ENSG00000142208 ENSG00000163041 1
ENSG00000142208 ENSG00000169083 -1
ENSG00000142208 ENSG00000173327 -1
ENSG00000142208 ENSG00000074590 1
ENSG00000142208 ENSG00000164327 -1
ENSG00000142208 ENSG00000164078 1
ENSG00000142208 ENSG00000170525 1
ENSG00000142208 CREBBP_EP300_KAT2B 1
ENSG00000142208 ENSG00000101109 -1
ENSG00000142208 ENSG00000108443 1
ENSG00000142208 ENSG00000196924 1
ENSG00000142208 ENSG00000141027 -1
ENSG00000142208 ENSG00000026025 1
ENSG00000142208 ENSG00000111276 -1
ENSG00000142208 ENSG00000101966 1
ENSG00000142208 ENSG00000136111 -1
ENSG00000142208 ENSG00000082701 1
ENSG00000142208 ENSG00000109819 -1
ENSG00000142208 ENSG00000142186 1
ENSG00000142208 ENSG00000123091 -1
ENSG00000142208 ENSG00000105221 -1
ENSG00000142208 ENSG00000149269 1
ENSG00000142208 ENSG00000168036 1
ENSG00000142208 ENSG00000160999 1
ENSG00000142208 ENSG00000065882 -1
ENSG00000142208 ENSG00000115020 1
ENSG00000142208 ENSG00000154447 -1
ENSG00000142208 ENSG00000106459 1
ENSG00000142208 ENSG00000145604 1
ENSG00000142208 ENSG00000135250 1
ENSG00000142208 ENSG00000167508 1
ENSG00000142208 ENSG00000060237 1
ENSG00000142208 ENSG00000144354 -1
ENSG00000142208 ENSG00000178035 1
ENSG00000142208 ENSG00000259207 -1
